#GPSANS Mirror Neutron Oscillation Experiment Detector Identification Map,,,
#Matthew Frost        2021june21    Oak Ridge National Laboratory,,,
#Detector ID Number, Scaling,Values associated with Notes,...
159,0.004086,-0.12925,0.0041
160,0.004086,-0.14025,0.0041
161,0.004086,-0.15125,0.0041
162,0.004086,-0.16225,0.0041
163,0.004086,-0.17325,0.0041
164,0.004086,-0.18425,0.0041
165,0.004086,-0.19525,0.0041
166,0.004086,-0.20625,0.0041
167,0.004086,-0.21725,0.0041
168,0.004086,-0.22825,0.0041
169,0.004086,-0.23925,0.0041
170,0.004086,-0.25025,0.0041
171,0.004086,-0.26125,0.0041
172,0.004086,-0.27225,0.0041
173,0.004086,-0.28325,0.0041
174,0.004086,-0.29425,0.0041
175,0.004086,-0.30525,0.0041
176,0.004086,-0.31625,0.0041
177,0.004086,-0.32725,0.0041
178,0.004086,-0.33825,0.0041
179,0.004086,-0.34925,0.0041
180,0.004086,-0.36025,0.0041
181,0.004086,-0.37125,0.0041
182,0.004086,-0.38225,0.0041
183,0.004086,-0.39325,0.0041
184,0.004086,-0.40425,0.0041
185,0.004086,-0.41525,0.0041
186,0.004086,-0.42625,0.0041
187,0.004086,-0.43725,0.0041
188,0.004086,-0.44825,0.0041
189,0.004086,-0.45925,0.0041
190,0.004086,-0.47025,0.0041
191,0.004086,-0.48125,0.0041
192,0.004086,-0.49225,0.0041
193,0.004086,-0.50325,0.0041
194,0.004086,-0.51425,0.0041
195,0.004086,-0.52525,0.0041
512,0.001488,0,0
513,0.001488,0,0
514,0.001488,0,0
515,0.001488,0,0
516,0.001488,0,0
517,0.001488,0,0
518,0.001488,0,0
519,0.001488,0,0
1024,0.004086,0,0
1025,0.004086,0,0
1026,0.004086,0,0
1027,0.004086,0,0
1028,0.004086,0,0
1029,0.004086,0,0
1030,0.004086,0,0
1031,0.004086,0,0
1032,0.004086,0,0
1033,0.004086,0,0
1034,0.004086,0,0
1035,0.004086,0,0
1036,0.004086,0,0
1037,0.004086,0,0
1038,0.004086,0,0
1039,0.004086,0,0
1040,0.004086,0,0
1041,0.004086,0,0
1042,0.004086,0,0
1043,0.004086,0,0
1044,0.004086,0,0
1045,0.004086,0,0
1046,0.004086,0,0
1047,0.004086,0,0
1048,0.004086,0,0
1049,0.004086,0,0
1050,0.004086,0,0
1051,0.004086,0,0
1052,0.004086,0,0
1053,0.004086,0,0
1054,0.004086,0,0
1055,0.004086,0,0
1056,0.004086,0,0
1057,0.004086,0,0
1058,0.004086,0,0
1059,0.004086,0,0
1060,0.004086,0,0
1061,0.004086,0,0
1062,0.004086,0,0
1063,0.004086,0,0
1064,0.004086,0,0
1065,0.004086,0,0
1066,0.004086,0,0
1067,0.004086,0,0
1068,0.004086,0,0
1069,0.004086,0,0
1070,0.004086,0,0
1071,0.004086,0,0
1072,0.004086,0,0
1073,0.004086,0,0
1074,0.004086,0,0
1075,0.004086,0,0
1076,0.004086,0,0
1077,0.004086,0,0
1078,0.004086,0,0
1079,0.004086,0,0
1080,0.004086,0,0
1081,0.004086,0,0
1082,0.004086,0,0
1083,0.004086,0,0
1084,0.004086,0,0
1085,0.004086,0,0
1086,0.004086,0,0
1087,0.004086,0,0
1088,0.004086,0,0
1089,0.004086,0,0
1090,0.004086,0,0
1091,0.004086,0,0
1092,0.004086,0,0
1093,0.004086,0,0
1094,0.004086,0,0
1095,0.004086,0,0
1096,0.004086,0,0
1097,0.004086,0,0
1098,0.004086,0,0
1099,0.004086,0,0
1100,0.004086,0,0
1101,0.004086,0,0
1102,0.004086,0,0
1103,0.004086,0,0
1104,0.004086,0,0
1105,0.004086,0,0
1106,0.004086,0,0
